,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,_type
0,GO_Biological_Process_2018,nervous system development (GO:0007399),98/455,2.984808524892284e-14,1.1757160779550708e-10,0,0,2.622517257442934,81.67215202344373,CNTFR;SH3GL3;PLXND1;RAPGEFL1;SOX3;DPYSL2;ADORA1;EPHB2;EPHB1;SH3GL2;MBNL1;SZT2;RBFOX3;DSCAM;MAP1S;TMOD2;PCDHA11;OLFM1;FEZ2;KCNQ2;ADGRB1;IGSF8;PCDH19;KALRN;PCDHA1;MOBP;BTBD3;DVL1;PCDHA5;PCDHA4;PCDHA3;MBP;PCDHA2;PCDHA9;ASIC2;PCDHA8;PCDHA7;GPM6B;PCDHA6;ZBTB16;CRIM1;INHBA;ARHGAP26;CHERP;PCDHGA10;PCDHGA11;RCAN1;PCDHGA12;CDK5;DLG3;NF1;TPP1;LRCH4;FGF13;SDK2;FGFR2;TENM1;PCDHGB7;DAGLA;PCDHGB6;PCDHGB5;PCDHGB4;PCDHGB2;MTR;PKD1;PCDHGA8;PCDHGA7;PCDHGA6;DBNL;PCDHGA5;PCDHGA4;PCDHGA3;PCDHGA2;PCDHGA1;NAV1;NAV2;PCDHGA9;ALDH5A1;PCDHGB1;HAP1;DAGLB;DSCAML1;SHANK3;SHANK2;SRC;CAMK2A;NRXN2;TRAK1;SPOCK1;FYN;PCDH1;CAMK2G;PCDHGC5;PCDHGC4;PCDHGC3;CABLES1;S100B;NFASC,Hypo
1,GO_Biological_Process_2018,protein phosphorylation (GO:0006468),77/470,3.792035992694152e-06,0.0074684148876111,0,0,1.8470443112178008,23.05592913855701,MAST4;LRRK2;FLT4;PRKAG1;PKD1;STK10;DSTYK;PPP4R1;TBK1;EEF2K;PIM2;EPHB2;EPHB1;STK32C;CSNK1G3;PDGFRA;CDKL4;PRKCH;KSR1;PRKCB;PRKCE;LMTK2;PRKCA;BAZ1B;PRKAB1;BCR;MELK;PRKAR1B;MAPKAPK2;KIT;TYRO3;RARA;SIK3;PRKD2;BIRC6;ULK1;ERG;FAM20A;SGK1;CAMK2B;NIM1K;RNASEL;SRC;CAMK2A;STK39;STK4;PRKCZ;CAMKK2;GRK2;ABL1;ABL2;PTK2B;FYN;CLSPN;MAP4K5;CAMK2G;MARK2;MAP4K4;SRPK2;CDK18;DAB2IP;EIF2AK4;CDC42BPB;CDC42BPA;MAPK14;MTOR;SRPK1;SMAD7;SBK1;STK24;CDK5;WNK2;ATP13A2;CDK14;MAP3K11;FGFR2;CDK16,Hypo
2,GO_Biological_Process_2018,cytoskeleton organization (GO:0007010),29/126,8.971755914985843e-06,0.0112942861226771,0,0,2.794061297541551,32.470985401396085,SPTBN4;LAMA5;CNTNAP1;RTKN;MAST4;LIMD1;SIPA1L3;SYNE3;SYNE2;FGD1;SYNE1;ZMYM1;CAPZB;DPYSL2;PACSIN2;PAK6;PTK2B;WASF3;PAK4;SUN1;DST;MICAL3;ANK3;CDC42BPB;ANK1;DIAPH1;BIN1;RHOJ;BRWD1,Hypo
3,GO_Biological_Process_2018,regulation of Ras protein signal transduction (GO:0046578),23/90,1.222366798756018e-05,0.0112942861226771,0,0,3.203564430055225,36.23915807644165,GIT2;EPO;SPRY4;AGAP2;DAB2IP;AGAP1;RASAL1;ASAP1;ARHGAP17;AGAP3;ASAP2;RASGRP1;ARFGAP1;ARHGAP44;ACAP2;RASA3;SGSM3;MADD;RASA2;NF1;ARHGEF2;EPHB2;RALGPS1,Hypo
4,GO_Biological_Process_2018,phosphorylation (GO:0016310),64/386,1.6582905733910664e-05,0.0112942861226771,0,0,1.8682808270156697,20.564425200053904,DGKG;LRRK2;PRKAG1;LIMD1;HK1;STK10;DSTYK;PPP4R1;TBK1;PIM2;EPHB2;CDKL4;PRKCH;KSR1;PRKCB;PRKCE;LMTK2;PRKCA;PRKAB1;DGKZ;BCR;MELK;PRKAR1B;MAPKAPK2;RARA;SIK3;PRKD2;BIRC6;ULK1;ERG;FAM20A;SGK1;DGKI;CAMK2B;NIM1K;RNASEL;CAMK2A;STK39;STK4;PRKCZ;CAMKK2;ABL1;PTK2B;FYN;MAP4K5;MARK2;MAP4K4;TEFM;SRPK2;CDK18;TNK2;EIF2AK4;CDC42BPB;CDC42BPA;MTOR;SRPK1;STK24;CDK5;WNK2;PI4KA;COQ8A;CDK14;MAP3K11;CDK16,Hypo
5,GO_Biological_Process_2018,vesicle-mediated transport (GO:0016192),67/410,1.720378693477099e-05,0.0112942861226771,0,0,1.836857009703206,20.151021289942506,LRRK2;AP2A1;GOLGA4;DPYSL2;KIF13A;KIF1C;KIF1B;VPS39;NSF;CSNK1G3;STX8;VPS33A;AKTIP;DENND2A;TSC2;LMTK2;BET1L;ARFGAP1;DNM1;MAPK8IP1;ACAP2;BIN1;HEATR5B;RHOJ;RIN3;TBC1D23;SFT2D2;STX1A;CHMP5;NAPA;SPTBN4;RAB5C;LRP1;MGRN1;AGAP2;AGAP1;DENND3;ASAP1;AGAP3;ASAP2;TRAK1;KALRN;CYTH3;VPS53;VPS11;VTI1A;STX3;LDLR;RAB6B;ATP9B;ATP9A;RAB11FIP4;SPTBN2;GIT2;ARFGEF2;RIC1;SORT1;CCZ1;SYT13;SYT7;MYO1E;EHD4;CDK5;SYT12;SGSM3;SPIRE1;UBE2O,Hypo
6,GO_Biological_Process_2018,neuron projection development (GO:0031175),34/167,2.6278060102532077e-05,0.0147870398205534,0,0,2.390545779898598,25.212551297160296,CNTNAP1;LRRK2;USH1C;HMGB1;FRY;PPP1R9A;PPP1R9B;BLOC1S5;MAP4;STX3;EPHB2;EPHB1;SH3GL2;GPM6B;MAP4K4;ANKRD27;DBNL;UNC5A;MAP1S;DAB2IP;SLC9A6;STK24;CDK5;CTTN;TBC1D24;RAPGEF2;ULK1;TBC1D23;MAPT;SGK1;SHANK3;SHANK2;FRYL;CDK16,Hypo
7,GO_Biological_Process_2018,positive regulation of synaptic transmission (GO:0050806),18/67,5.161124673726824e-05,0.0254120876122624,0,0,3.4226771453923184,33.78788481238157,RGS14;TSHZ3;CLSTN1;EIF2AK4;PRKCZ;GRIN2B;SLC8A2;SLC8A3;RIMS1;RIMS3;KCTD13;PTK2B;HAP1;EPHB2;CACNG2;SHANK3;SHANK2;CACNG4,Hypo
8,GO_Biological_Process_2018,positive regulation of epithelial cell migration (GO:0010634),19/74,6.361514974464178e-05,0.0278422305382382,0,0,3.219292876983193,31.10692900957505,SCARB1;SRC;FLT4;PRKCE;PRKCA;FGF1;PPM1F;MTOR;EPB41L4B;ABL1;PTK2B;ITGB1BP1;PRKD2;DOCK1;GPLD1;CLASP1;SASH1;BCAR1;CLASP2,Hypo
9,GO_Biological_Process_2018,long-term synaptic potentiation (GO:0060291),9/21,7.729181291179883e-05,0.0286258982202246,0,0,6.969860896445131,65.99010295075068,SLC8A3;RGS14;TSHZ3;PTK2B;PRKCZ;GRIN2B;SHANK3;SHANK2;SLC8A2,Hypo
10,GO_Biological_Process_2018,regulation of protein secretion (GO:0050708),24/107,7.994030983053334e-05,0.0286258982202246,0,0,2.697443981533611,25.448307821093437,RHBDF1;KCNJ11;TGFB3;UQCC2;RHBDF2;SLC2A1;P3H1;SLC2A2;PRKCA;CACNA1D;CACNA1C;CACNA1E;SYT7;PER2;MYO18A;ATP13A2;SERGEF;SLC25A5;MYH10;SLC25A4;STX1A;LLGL1;RAPGEF3;RAPGEF4,Hypo
11,GO_Biological_Process_2018,neuron projection morphogenesis (GO:0048812),32/163,9.311653604838204e-05,0.0291728615468086,0,0,2.282148230106106,21.18212114231467,SPTBN4;CNTNAP1;LRRK2;LRP4;BTBD3;DVL1;SLIT1;APBB1;EPHB2;EPHB1;MAP4K4;NTNG2;ANKRD27;DBNL;MAP1S;DAB2IP;ANK3;EIF2AK4;BAIAP2;S100B;SLC9A6;STK24;CDK5;CTTN;MAP1A;ADGRB1;SGK1;SHANK3;DSCAML1;LLGL1;FGFR2;SHANK2,Hypo
12,GO_Biological_Process_2018,vascular endothelial growth factor receptor signaling pathway (GO:0048010),18/70,9.628007111157973e-05,0.0291728615468086,0,0,3.2246774964166267,29.82262109731894,CYFIP2;SHC2;SRC;FLT4;PXN;DAB2IP;PIK3R1;BAIAP2;MAPK14;VAV2;MAPKAPK2;ELMO1;ELMO2;PTK2B;PRKD2;FYN;DOCK1;BCAR1,Hypo
